Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
Donkey Kong Country 2: Diddys Kong Quest,1995,Platform,Nintendo,,,5.15
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,68,T,5.13
Kirbys Dream Land,1992,Platform,Nintendo,,,5.13
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,,,5.12
Guitar Hero II,2006,Misc,RedOctane,92,T,5.12
Fable III,2010,Role-Playing,Microsoft Game Studios,80,M,5.1
Mario & Sonic at the Olympic Games,2008,Sports,Sega,,,5.09
Resident Evil 5,2009,Action,Capcom,84,M,5.09
The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo,90,E,5.08
FIFA Soccer 11,2010,Sports,Electronic Arts,89,E,5.07
Super Mario Bros.,1999,Platform,Nintendo,,,5.07
The Last of Us,2014,Action,Sony Computer Entertainment,,,5.06
Resident Evil,1996,Action,Virgin Interactive,91,M,5.05
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,86,M,5.03
Tony Hawks Pro Skater,1999,Sports,Activision,92,T,5.02
Warzone 2100,1999,Strategy,Eidos Interactive,,,5.01
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,,,5
Guitar Hero III: Legends of Rock,2007,Misc,Activision,82,T,4.98
Links Crossbow Training,2007,Shooter,Nintendo,68,T,4.98
Fallout 3,2008,Role-Playing,Bethesda Softworks,93,M,4.94
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,,,4.93
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,,,4.93
Uncharted: Drakes Fortune,2007,Action,Sony Computer Entertainment,88,T,4.92
Madden NFL 06,2005,Sports,Electronic Arts,88,E,4.91
Diddy Kong Racing,1997,Racing,Nintendo,,,4.88
Monster Hunter Freedom 3,2010,Role-Playing,Capcom,,,4.87
StarCraft II: Wings of Liberty,2010,Strategy,Activision,93,T,4.85
Dr. Mario,1990,Puzzle,Nintendo,,,4.85
Assassins Creed,2007,Adventure,Ubisoft,81,M,4.82
God of War III,2010,Action,Sony Computer Entertainment,92,M,4.8
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,86,T,4.8
Crash Team Racing,1999,Racing,Sony Computer Entertainment,88,E,4.79
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,80,E,4.76
Driver 2,2000,Action,Atari,62,T,4.73
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,94,T,4.73
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,,,4.7
Tony Hawks Pro Skater 2,2000,Sports,Activision,98,T,4.68
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,82,T,4.67
Tomb Raider,1996,Action,Eidos Interactive,91,T,4.63
Animal Crossing: City Folk,2008,Simulation,Nintendo,73,E,4.62
Luigis Mansion: Dark Moon,2013,Action,Nintendo,86,E,4.62
Minecraft,2014,Misc,Sony Computer Entertainment Europe,,,4.62
Halo 5: Guardians,2015,Shooter,Microsoft Game Studios,84,T,4.61
The Legend of Zelda: A Link to the Past,1991,Action,Nintendo,,,4.61
The Legend of Zelda: The Wind Waker,2002,Action,Nintendo,96,E,4.6
Guitar Hero III: Legends of Rock,2007,Misc,Activision,86,T,4.6
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,91,E,4.57
Splatoon,2015,Shooter,Nintendo,81,E10+,4.54
Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,,,4.53
Madden NFL 2005,2004,Sports,Electronic Arts,91,E,4.53
Guitar Hero III: Legends of Rock,2007,Misc,Activision,85,T,4.53
The Legend of Zelda: Ocarina of Time,2011,Action,Nintendo,,,4.51
Pitfall!,1981,Platform,Activision,,,4.5
Madden NFL 07,2006,Sports,Electronic Arts,84,E,4.49
Spider-Man: The Movie,2002,Action,Activision,76,E,4.48
Super Mario 3D World,2013,Platform,Nintendo,93,E,4.47
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,,,4.47
God of War,2005,Action,Sony Computer Entertainment,94,M,4.45
Nintendo Land,2012,Misc,Nintendo,77,E10+,4.42
Tony Hawks Pro Skater 3,2001,Sports,Activision,97,T,4.41
Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,86,E,4.39
The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,94,M,4.39
Zelda II: The Adventure of Link,1987,Adventure,Nintendo,,,4.38
Call of Duty: Advanced Warfare,2014,Shooter,Activision,,M,4.38
Fallout 4,2015,Role-Playing,Bethesda Softworks,88,M,4.37
Need for Speed: Most Wanted,2005,Racing,Electronic Arts,82,T,4.37
Michael Jackson: The Experience,2010,Misc,Ubisoft,56,E10+,4.36
Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment,86,M,4.35
Sonic the Hedgehog,1991,Platform,Sega,,,4.34
Kingdom Hearts II,2005,Role-Playing,Square Enix,87,E10+,4.33
Call of Duty: Advanced Warfare,2014,Shooter,Activision,,M,4.32
Asteroids,1980,Shooter,Atari,,,4.31
FIFA 15,2014,Sports,Electronic Arts,,E,4.28
Fable II,2008,Role-Playing,Microsoft Game Studios,89,M,4.27
Batman: Arkham Asylum,2009,Action,Eidos Interactive,91,T,4.24
Namco Museum,2001,Misc,Namco Bandai Games,79,E,4.24
Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,91,M,4.23
FIFA 14,2013,Sports,Electronic Arts,84,E,4.22
Assassins Creed: Revelations,2011,Action,Ubisoft,80,M,4.22
Daxter,2006,Platform,Sony Computer Entertainment,85,E10+,4.21
Warcraft II: Tides of Darkness,1995,Strategy,Activision,,,4.21
FIFA Soccer 06,2005,Sports,Electronic Arts,80,E,4.21
EyeToy Play,2003,Misc,Sony Computer Entertainment,80,E,4.2
Assassins Creed: Revelations,2011,Action,Ubisoft,80,M,4.2
Gran Turismo 5 Prologue,2007,Racing,Sony Computer Entertainment,80,E,4.19
FIFA 12,2011,Sports,Electronic Arts,,,4.18
Teenage Mutant Ninja Turtles,1989,Action,Palcom,,,4.17
Street Fighter IV,2009,Fighting,Capcom,94,T,4.17
Excitebike,1984,Racing,Nintendo,,,4.16
Frogger,1997,Action,Hasbro Interactive,,,4.16
Madden NFL 2003,2002,Sports,Electronic Arts,95,E,4.14
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,92,M,4.14
Half-Life,1997,Shooter,Vivendi Games,96,M,4.12
Super Mario World 2: Yoshis Island,1995,Platform,Nintendo,,,4.12
FIFA Soccer 07,2006,Sports,Electronic Arts,,,4.11
Street Fighter II Turbo,1992,Fighting,Capcom,,,4.1
Watch Dogs,2014,Action,Ubisoft,80,M,4.09
World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision,91,T,4.09
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,87,M,4.09
God of War II,2007,Action,Sony Computer Entertainment,93,M,4.07
Far Cry 4,2014,Shooter,Ubisoft,85,M,4.06
Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,84,M,4.06
World Soccer Winning Eleven 9,2005,Sports,Konami Digital Entertainment,,E,4.06
Carnival Games,2007,Misc,Take-Two Interactive,56,E,4.05
Forza Motorsport 2,2007,Racing,Microsoft Game Studios,90,E,4.05
Namco Museum Vol.3,1996,Misc,Sony Computer Entertainment,,,4.05
Tekken Tag Tournament,2000,Fighting,Namco Bandai Games,85,T,4.05
Star Fox 64,1997,Shooter,Nintendo,,,4.03
Golf,1984,Sports,Nintendo,,,4.01
Tom Clancys The Division,2016,Shooter,Ubisoft,80,M,4
Assassins Creed: Unity,2014,Action,Ubisoft,70,M,3.99
Namco Museum: 50th Anniversary,2005,Misc,Namco Bandai Games,61,E10+,3.98
Left 4 Dead 2,2009,Shooter,Electronic Arts,89,M,3.97
Fallout 3,2008,Role-Playing,Bethesda Softworks,90,M,3.95
The Legend of Zelda: Skyward Sword,2011,Action,Nintendo,93,E10+,3.95
Professor Layton and the Diabolical Box,2007,Puzzle,Nintendo,84,E10+,3.94
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,94,M,3.92
Nintendogs + cats,2011,Simulation,Nintendo,,,3.92
Monster Hunter 4 Ultimate,2014,Role-Playing,Nintendo,86,T,3.92
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,,,3.91
Donkey Kong Land,1994,Platform,Nintendo,,,3.91
EA Sports Active,2009,Sports,Electronic Arts,81,E,3.91
NBA 2K16,2015,Sports,Take-Two Interactive,87,E10+,3.9
Tony Hawks Underground,2003,Sports,Activision,90,T,3.9
Tekken 5,2005,Fighting,Namco Bandai Games,88,T,3.87
Dragon Warrior III,1988,Role-Playing,Enix Corporation,,,3.87
MotorStorm,2006,Racing,Sony Computer Entertainment,84,T,3.87
World Soccer Winning Eleven 8 International,2004,Sports,Konami Digital Entertainment,91,E,3.85
Sports Champions,2010,Sports,Sony Computer Entertainment,76,E10+,3.85
Namco Museum Vol.1,1995,Misc,Sony Computer Entertainment,,,3.84
Call of Duty: Ghosts,2013,Shooter,Activision,78,M,3.83
The Legend of Zelda: Links Awakening,1992,Action,Nintendo,,,3.83
Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo,59,E,3.83
Big Brain Academy: Wii Degree,2007,Misc,Nintendo,68,E,3.79
Resident Evil Directors Cut,1996,Action,Virgin Interactive,,,3.77
Mario & Luigi: Bowsers Inside Story,2009,Role-Playing,Nintendo,,,3.77
LEGO Indiana Jones: The Original Adventures,2008,Action,Activision,77,E10+,3.76
The Sims: Unleashed,2002,Simulation,Electronic Arts,79,T,3.76
Ratchet & Clank: Size Matters,2007,Platform,Sony Computer Entertainment,,,3.74
Harry Potter and the Sorcerers Stone,2001,Action,Electronic Arts,64,E,3.73
Assassins Creed IV: Black Flag,2013,Action,Ubisoft,88,M,3.72
Mario & Sonic at the London 2012 Olympic Games,2011,Sports,Sega,,,3.72
Resident Evil 3: Nemesis,1999,Action,Eidos Interactive,,,3.72
Super Paper Mario,2007,Platform,Nintendo,85,E,3.72
Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment,91,E,3.71
FIFA Soccer 2005,2004,Sports,Electronic Arts,81,E,3.7
Pok\xc3\xa9mon Trading Card Game,1998,Strategy,Nintendo,,,3.7
Friend Collection,2009,Misc,Nintendo,,,3.67
Tony Hawks Pro Skater 4,2002,Sports,Activision,94,T,3.67
MySims,2007,Simulation,Electronic Arts,67,E,3.66
Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive,74,E10+,3.65
Banjo-Kazooie,1998,Platform,Nintendo,,,3.65
SOCOM: U.S. Navy SEALs,2002,Shooter,Sony Computer Entertainment,82,M,3.65
Jak and Daxter: The Precursor Legacy,2001,Platform,Sony Computer Entertainment,90,E,3.64
Pokemon Snap,1999,Simulation,Nintendo,,,3.63
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,82,E,3.63
Resident Evil 4,2005,Action,Capcom,96,M,3.62
FIFA Soccer 10,2009,Sports,Electronic Arts,91,E,3.62
Guitar Hero: World Tour,2008,Misc,Activision,86,T,3.62
Battlefield 4,2013,Shooter,Electronic Arts,85,M,3.61
Star Wars: Battlefront,2004,Shooter,LucasArts,82,T,3.61
Doom II: Hell on Earth,1994,Shooter,Virgin Interactive,,,3.61
The Simpsons: Road Rage,2001,Racing,Electronic Arts,64,T,3.61
Luigis Mansion,2001,Action,Nintendo,78,E,3.6
Just Dance 2014,2013,Misc,Ubisoft,,E10+,3.59
Star Wars: Battlefront II,2005,Shooter,LucasArts,84,T,3.59
Cooking Mama 2: Dinner With Friends,2007,Simulation,505 Games,70,E,3.58
WWF SmackDown!,2000,Fighting,THQ,,,3.58
Croc: Legend of the Gobbos,1997,Platform,Fox Interactive,,,3.56
Call of Duty: Infinite Warfare,2016,Shooter,Activision,78,M,3.56
Assassins Creed: Unity,2014,Action,Ubisoft,72,M,3.56
Grand Theft Auto: Liberty City Stories,2006,Action,Take-Two Interactive,78,M,3.54
The Getaway,2002,Action,Sony Computer Entertainment,72,M,3.54
Tomb Raider III: Adventures of Lara Croft,1997,Action,Eidos Interactive,,,3.54
James Bond 007: Agent Under Fire,2001,Shooter,Electronic Arts,72,T,3.53
LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,,,3.53
Rugrats in Paris: The Movie,2000,Action,THQ,,,3.52
FIFA Soccer 11,2010,Sports,Electronic Arts,88,E,3.52
Spyro 2: Riptos Rage!,1999,Platform,Sony Computer Entertainment,,,3.52
Left 4 Dead,2008,Shooter,Electronic Arts,89,M,3.51
Donkey Kong Country 3: Dixie Kongs Double Trouble!,1996,Platform,Nintendo,,,3.51
Resident Evil 5,2009,Action,Capcom,83,M,3.5
Kung Fu,1985,Action,Nintendo,,,3.5
Assassins Creed: Brotherhood,2010,Action,Ubisoft,89,M,3.5
