Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,92,M,6420000
Pok\xc3\xa9mon Emerald Version,2004,Role-Playing,Nintendo,76,E,6410000
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,85,E,6400000
Pok\xc3\xa9mon Crystal Version,2000,Role-Playing,Nintendo,,,6390000
Red Dead Redemption,2010,Action,Take-Two Interactive,95,M,6350000
Halo 3: ODST,2009,Shooter,Microsoft Game Studios,83,M,6340000
Super Mario Sunshine,2002,Platform,Nintendo,92,E,6310000
World of Warcraft,2004,Role-Playing,Activision,93,T,6310000
Street Fighter II: The World Warrior,1992,Fighting,Capcom,,,6300000
Driver,1999,Action,GT Interactive,87,T,6270000
Gears of War 3,2011,Shooter,Microsoft Game Studios,91,M,6210000
Kinect Sports,2010,Sports,Microsoft Game Studios,73,E10+,6190000
Gears of War,2006,Shooter,Microsoft Game Studios,94,M,6090000
FIFA 15,2014,Sports,Electronic Arts,82,E,6080000
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,96,M,6050000
Sonic the Hedgehog 2,1992,Platform,Sega,,,6030000
Metal Gear Solid,1998,Action,Konami Digital Entertainment,94,M,6030000
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,94,M,5990000
Final Fantasy XII,2006,Role-Playing,Square Enix,92,T,5950000
The Last of Us,2013,Action,Sony Computer Entertainment Europe,95,M,5890000
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,95,E,5820000
Resident Evil 2,1998,Action,Virgin Interactive,89,M,5820000
Call of Duty: Infinite Warfare,2016,Shooter,Activision,77,M,5800000
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,87,E10+,5780000
Tekken 2,1996,Fighting,Sony Computer Entertainment,89,T,5740000
Grand Theft Auto V,2014,Action,Take-Two Interactive,97,M,5740000
Destiny,2014,Shooter,Activision,76,T,5660000
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,80,E10+,5640000
Cooking Mama,2006,Simulation,505 Games,67,E,5640000
Tetris,1988,Puzzle,Nintendo,,,5580000
Super Smash Bros.,1999,Fighting,Nintendo,,,5550000
Assassins Creed II,2009,Action,Ubisoft,91,M,5550000
Assassins Creed,2007,Adventure,Ubisoft,81,M,5540000
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,92,E,5490000
Super Mario Advance,2001,Platform,Nintendo,84,E,5490000
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,96,T,5480000
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,81,T,5480000
Mario Kart: Super Circuit,2001,Racing,Nintendo,93,E,5470000
Super Mario World,2001,Platform,Nintendo,,,5460000
Pokemon Stadium,1999,Strategy,Nintendo,,,5450000
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,66,E,5420000
Minecraft,2014,Misc,Sony Computer Entertainment,,,5410000
Call of Duty: World at War,2008,Shooter,Activision,85,M,5400000
Tomodachi Life,2013,Simulation,Nintendo,71,E,5390000
Dr. Mario,1989,Puzzle,Nintendo,,,5340000
Final Fantasy XIII,2009,Role-Playing,Square Enix,83,T,5340000
Pokemon Pinball,1999,Misc,Nintendo,,,5310000
Final Fantasy IX,2000,Role-Playing,SquareSoft,94,T,5300000
Battlefield 1,2016,Shooter,Electronic Arts,89,M,5300000
New Super Mario Bros. U,2012,Platform,Nintendo,84,E,5290000
Assassins Creed III,2012,Action,Ubisoft,84,M,5290000
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,85,T,5290000
Call of Duty: Advanced Warfare,2014,Shooter,Activision,81,M,5280000
Donkey Kong 64,1999,Platform,Nintendo,,,5270000
Assassins Creed II,2009,Action,Ubisoft,90,M,5270000
Tomb Raider II,1997,Action,Eidos Interactive,85,T,5240000
Madden NFL 2004,2003,Sports,Electronic Arts,94,E,5230000
